Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
ANNA NAGAR,DMK,4,2110000000.0,2 Crore+,TAMIL NADU,8th Pass
KARERA (SC),BJP,0,10000000.0,0,MADHYA PRADESH,12th Pass
MADIKERI,INC,0,70000000.0,22 Lac+,KARNATAKA,Post Graduate
BEGUSARAI,BJP,0,90000000.0,24 Lac+,BIHAR,Post Graduate
BANGAON DAKSHIN (SC),BJP,2,20000000.0,61 Lac+,WEST BENGAL,8th Pass
HOWRAH MADHYA,AITC,0,30000000.0,29 Lac+,WEST BENGAL,Graduate Professional
AGRA RURAL (SC),BJP,0,20000000.0,0,UTTAR PRADESH,Post Graduate
RAJPURA,AAP,1,90000000.0,2 Crore+,PUNJAB,Graduate
RAM NAGAR,SP,1,50000000.0,35 Lac+,UTTAR PRADESH,Post Graduate
AURANGBAD (EAST),BJP,6,220000000.0,2 Crore+,MAHARASHTRA,Graduate
MATIGARA-NAXALBARI (SC),BJP,1,0.0,10 Lac+,WEST BENGAL,Post Graduate
BADASAHI,BJP,2,10000000.0,0,ODISHA,Graduate
BARSAR,INC,1,70000000.0,2 Crore+,HIMACHAL PRADESH,Graduate
RAJURA,INC,3,30000000.0,1 Lac+,MAHARASHTRA,Graduate
CHHARRA,BJP,0,80000000.0,0,UTTAR PRADESH,10th Pass
KULPI,AITC,0,10000000.0,1 Lac+,WEST BENGAL,Graduate Professional
PYNURSLA (ST),NPP,0,120000000.0,0,MEGHALAYA,Graduate
HINJILI,BJD,0,630000000.0,15 Lac+,ODISHA,Graduate
KUNNATHUR,IND,1,1100000.0,0,KERALA,10th Pass
NAYAGRAM (ST),AITC,0,10000000.0,0,WEST BENGAL,Post Graduate
PATNAGARH,BJD,0,310000000.0,10 Lac+,ODISHA,12th Pass
RAJAPUR,SHS,1,0.0,73 Lac+,MAHARASHTRA,Graduate
DHAMNAGAR,BJP,4,6000000.0,5 Lac+,ODISHA,Post Graduate
BALIGUDA,BJD,1,0.0,6 Lac+,ODISHA,12th Pass
ROHTAK,INC,0,110000000.0,1 Crore+,HARYANA,Graduate Professional
MONTESWAR,AITC,0,10000000.0,4 Lac+,WEST BENGAL,Post Graduate
BELSAND,RJD,5,50000000.0,42 Lac+,BIHAR,12th Pass
PUDUKKOTTAI,DMK,0,90000000.0,4 Crore+,TAMIL NADU,Graduate Professional
DHARMASALA,BJD,0,170000000.0,1 Crore+,ODISHA,Graduate
GHORADONGRI (ST),BJP,0,30000000.0,4 Lac+,MADHYA PRADESH,Graduate
GANDHI NAGAR,BJP,1,1800000.0,3 Lac+,DELHI,Graduate
ANANTAPUR URBAN,YSRCP,0,80000000.0,18 Lac+,ANDHRA PRADESH,Post Graduate
BETUL,BJP,0,410000000.0,17 Crore+,MADHYA PRADESH,Graduate Professional
NAMBOL,BJP,0,40000000.0,39 Lac+,MANIPUR,Post Graduate
SERAJ,BJP,0,60000000.0,26 Lac+,HIMACHAL PRADESH,Graduate
TINDWARI,BJP,1,9500000.0,0,UTTAR PRADESH,Graduate Professional
EDAPPADI,AIADMK,0,60000000.0,29 Lac+,TAMIL NADU,Graduate
ANTA,BJP,5,60000000.0,4 Crore+,RAJASTHAN,Others
PARAVUR,INC,7,60000000.0,0,KERALA,Graduate Professional
TEOSA,INC,10,90000000.0,8 Lac+,MAHARASHTRA,Graduate Professional
BAGHPAT,BJP,3,210000000.0,2 Crore+,UTTAR PRADESH,Graduate
HANGAL,INC,0,100000000.0,3 Crore+,KARNATAKA,Graduate
ODDANCHATRAM,DMK,6,90000000.0,7 Crore+,TAMIL NADU,Graduate
KUMTA,BJP,0,40000000.0,9 Lac+,KARNATAKA,12th Pass
CHARKHARI,BJP,5,190000000.0,9 Lac+,UTTAR PRADESH,Graduate
HAFLONG (ST),BJP,0,500000.0,0,ASSAM,Post Graduate
BARANAGAR,AITC,0,30000000.0,28 Lac+,WEST BENGAL,Graduate Professional
CHOWKHAM,BJP,0,640000000.0,8 Lac+,ARUNACHAL PRADESH,Graduate
BARHI,INC,5,5000000.0,0,JHARKHAND,Graduate
GANDHINAGAR SOUTH,BJP,6,30000000.0,14 Lac+,GUJARAT,12th Pass
PRATAPGARH (SC),CPI(M),0,800000.0,0,TRIPURA,Post Graduate
SEKMAI (SC),BJP,0,10000000.0,37 Lac+,MANIPUR,Graduate
KUCHINDA,BJD,4,5700000.0,10 Lac+,ODISHA,Post Graduate
MUBARAKPUR,SP,3,1600000.0,0,UTTAR PRADESH,12th Pass
SUSNER,INC,2,50000000.0,47 Lac+,MADHYA PRADESH,10th Pass
LOHARU,BJP,0,0.0,6 Crore+,HARYANA,Graduate
DHONE,YSRCP,2,70000000.0,23 Lac+,ANDHRA PRADESH,Graduate Professional
BAJPATTI,RJD,2,20000000.0,1 Lac+,BIHAR,Graduate
BENIPATTI,BJP,1,20000000.0,3 Lac+,BIHAR,Graduate
BRAJARAJNAGAR : BYE ELECTION ON 31-05-2022,BJD,0,100000000.0,90 Lac+,ODISHA,Graduate
BISWANATH,BJP,0,9000000.0,7 Lac+,ASSAM,Post Graduate
BINDRANAWAGARH (ST),INC,0,10000000.0,7 Lac+,CHHATTISGARH,Post Graduate
LABPUR,AITC,0,10000000.0,0,WEST BENGAL,Post Graduate
KEDARNATH,BJP,0,30000000.0,0,UTTARAKHAND,Post Graduate
SHAHKOT,INC,0,170000000.0,3 Crore+,PUNJAB,10th Pass
ANANDAPUR,BJD,5,3700000.0,0,ODISHA,10th Pass
MULLANA (SC),INC,0,60000000.0,53 Lac+,HARYANA,Graduate Professional
SIDHI,BJP,1,80000000.0,1 Crore+,MADHYA PRADESH,Post Graduate
SHIKARPUR,BJP,2,140000000.0,75 Lac+,UTTAR PRADESH,12th Pass
KHANPUR,INC,2,50000000.0,44 Lac+,RAJASTHAN,Graduate
BALUSSERI,CPI(M),7,20000000.0,0,KERALA,Graduate Professional
MOHLA-MANPUR (ST),INC,0,40000000.0,60 Thou+,CHHATTISGARH,Post Graduate
BANDIKUI,BJP,0,50000000.0,1 Crore+,RAJASTHAN,Graduate
SHAHAPUR (ST),NCP,1,30000000.0,10 Lac+,MAHARASHTRA,Graduate
LUMLA,BJP,0,400000000.0,3 Crore+,ARUNACHAL PRADESH,Graduate
NAVALGUND,INC,0,60000000.0,21 Lac+,KARNATAKA,Graduate
MADURAI EAST,DMK,3,110000000.0,3 Crore+,TAMIL NADU,12th Pass
RASIPURAM(SC),DMK,0,50000000.0,2 Crore+,TAMIL NADU,Graduate Professional
MANBAZAR (ST),AITC,0,2100000.0,0,WEST BENGAL,10th Pass
DIGBOI,BJP,0,0.0,55 Lac+,ASSAM,10th Pass
POLASARA,BJD,1,8200000.0,17 Lac+,ODISHA,10th Pass
JASDAN,BJP,0,20000000.0,0,GUJARAT,Graduate Professional
SILWANI,INC,0,60000000.0,1 Crore+,MADHYA PRADESH,12th Pass
SIKANDRA RAO,BJP,0,110000000.0,26 Lac+,UTTAR PRADESH,12th Pass
MADURAI WEST,AIADMK,1,60000000.0,1 Crore+,TAMIL NADU,Graduate
OSMANABAD,SHS,0,7900000.0,21 Lac+,MAHARASHTRA,12th Pass
WARORA,INC,0,130000000.0,2 Crore+,MAHARASHTRA,12th Pass
VIRUDHUNAGAR,DMK,3,9600000.0,2 Lac+,TAMIL NADU,12th Pass
JONAI (ST),BJP,0,30000000.0,73 Lac+,ASSAM,Post Graduate
DARSI,YSRCP,0,1590000000.0,17 Crore+,ANDHRA PRADESH,Post Graduate
SOLAN (SC),INC,1,40000000.0,49 Lac+,HIMACHAL PRADESH,Doctorate
KAMALASAGAR,BJP,0,73000.0,0,TRIPURA,10th Pass
SANOUR,AAP,0,20000000.0,4 Lac+,PUNJAB,12th Pass
